year,locationabbr,locationdesc,class,topic,question,response,sample_size,data_value,confidence_limit_low,confidence_limit_high,display_order,data_value_unit,data_value_type,data_value_footnote_symbol,data_value_footnote,data_source,class_id,topic_id,location_id,breakout_id,break_out_category_id,question_id,response_id,geo_location,Age Group,Gender,Race/Ethnicity
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,48,14.3,9.6,19.1,7,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE01,CAT3,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",18-24,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,332,85.7,80.9,90.4,8,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE01,CAT3,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",18-24,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,139,22.8,18.8,26.8,9,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE02,CAT3,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",25-34,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,506,77.2,73.2,81.2,10,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE02,CAT3,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",25-34,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,228,24.3,20.9,27.8,11,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE03,CAT3,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",35-44,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,684,75.7,72.2,79.2,12,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE03,CAT3,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",35-44,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,334,23.9,21.1,26.8,13,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE04,CAT3,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",45-54,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1018,76.1,73.2,79,14,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE04,CAT3,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",45-54,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,472,25.2,22.5,27.8,15,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE05,CAT3,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",55-64,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1289,74.8,72.2,77.5,16,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE05,CAT3,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",55-64,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,417,15.6,13.9,17.4,17,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE09,CAT3,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",65+,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,2191,84.4,82.6,86.2,18,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,AGE09,CAT3,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",65+,NA,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1188,23,21.4,24.7,19,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE1,CAT4,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",NA,NA,"White, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4069,77,75.3,78.6,20,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE1,CAT4,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",NA,NA,"White, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,347,14.7,12.7,16.8,21,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE2,CAT4,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",NA,NA,"Black, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1647,85.3,83.2,87.3,22,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE2,CAT4,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",NA,NA,"Black, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,22,NA,NA,NA,23,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS03,Topic17,01,RACE3,CAT4,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",NA,NA,Hispanic
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,99,85.3,76.4,94.2,24,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE3,CAT4,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",NA,NA,Hispanic
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,52,35.4,24,46.8,25,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE4,CAT4,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",NA,NA,"Other, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,105,64.6,53.2,76.1,26,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE4,CAT4,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",NA,NA,"Other, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,14,NA,NA,NA,27,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS03,Topic17,01,RACE5,CAT4,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",NA,NA,"Multiracial, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,44,65.2,44.4,86.1,28,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,RACE5,CAT4,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",NA,NA,"Multiracial, non-Hispanic"
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,432,17.1,15.1,19,3,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,SEX1,CAT2,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",NA,Male,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,2178,82.9,81,84.9,4,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,SEX1,CAT2,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",NA,Male,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1206,25,23.2,26.7,5,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,SEX2,CAT2,ADDEPEV2,RESP046,"(32.84057112200048, -86.63186076199969)",NA,Female,NA
2011,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,3842,75,73.3,76.8,6,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,01,SEX2,CAT2,ADDEPEV2,RESP054,"(32.84057112200048, -86.63186076199969)",NA,Female,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,29,10.2,5.9,14.4,7,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE01,CAT3,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",18-24,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,199,89.8,85.6,94.1,8,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE01,CAT3,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",18-24,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,76,14.9,10.3,19.4,9,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE02,CAT3,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",25-34,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,408,85.1,80.6,89.7,10,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE02,CAT3,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",25-34,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,103,16.1,12.4,19.9,11,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE03,CAT3,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",35-44,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,488,83.9,80.1,87.6,12,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE03,CAT3,ADDEPEV2,RESP054,"(64.84507995700051, -147.72205903599973)",35-44,NA,NA
2011,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,146,19.6,15.8,23.4,13,%,Crude Prevalence,NA,NA,BRFSS,CLASS03,Topic17,02,AGE04,CAT3,ADDEPEV2,RESP046,"(64.84507995700051, -147.72205903599973)",45-54,NA,NA
